,dttl,swin,dwin,tcprtt,synack,ackdat,label,proto_tcp,proto_udp,service_dns,state_CON,state_FIN,attack_cat_Analysis,attack_cat_DoS,attack_cat_Exploits,attack_cat_Normal
148,0.11417322834645668,1.0,1.0,0.0004031657568045122,0.0009295980511571253,8.707492165012594e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
149,0.9921259842519685,1.0,1.0,0.05196947478436334,0.03882095006090134,0.04041329690230966,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
150,0.9921259842519685,1.0,1.0,0.0487636026516366,0.0486177831912302,0.03352735592084889,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
162,0.11417322834645668,1.0,1.0,0.00046353999659220954,0.0010816077953714979,9.550152697110586e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
168,0.11417322834645668,1.0,1.0,0.0005064727893301276,0.0011673568818514007,0.00010954586917273908,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
170,0.11417322834645668,1.0,1.0,0.00046823577079791937,0.0010699147381242387,0.00010463034940216744,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
180,0.11417322834645668,1.0,1.0,0.0004595150472730297,0.0010601705237515224,9.901261252151416e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
191,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
192,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
194,0.11417322834645668,1.0,1.0,0.0004293279273791811,0.0009900121802679659,9.269265853077922e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
195,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
196,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
197,0.11417322834645668,1.0,1.0,0.0004460985495424303,0.0010348355663824603,9.409709275094255e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
198,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
200,0.11417322834645668,1.0,1.0,0.0005037894897840078,0.0011809987819732034,0.00010182148096184082,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
201,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
202,0.11417322834645668,1.0,1.0,0.00047963979386892884,0.001104993909866017,0.00010392813229208579,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
206,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
208,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
210,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
211,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
212,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
213,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
214,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
216,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
217,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
218,0.11417322834645668,1.0,1.0,0.00044274442510978045,0.0010426309378806333,8.77771387602076e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
219,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
220,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
221,0.11417322834645668,1.0,1.0,0.0005104977386493076,0.0011985383678440925,0.00010252369807192247,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
222,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
223,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
224,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
225,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
228,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
230,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
231,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
237,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
240,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
241,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
243,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
245,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
248,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
249,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
255,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
260,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
265,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
268,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
270,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
273,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
276,0.11417322834645668,1.0,1.0,0.0004668941210248594,0.0010582216808769792,0.0001074392178424941,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
280,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
281,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
283,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
284,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
286,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
287,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
288,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
289,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
290,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
291,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
292,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
293,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
294,0.11417322834645668,1.0,1.0,0.0003951158581661526,0.0009042630937880631,8.77771387602076e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
295,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
296,0.11417322834645668,1.0,1.0,0.0021721309825840445,0.006049208282582217,9.409709275094255e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
297,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
299,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
300,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
302,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
303,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
305,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
306,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
307,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
308,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
309,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
313,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
314,0.11417322834645668,1.0,1.0,0.0004105448305563419,0.0009471376370280147,8.847935587028926e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
315,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
317,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
322,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
323,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
326,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
327,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
329,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
331,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
332,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
334,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
336,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
337,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
341,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
344,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
345,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
347,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
348,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
349,0.11417322834645668,1.0,1.0,0.00044744019931549023,0.001038733252131547,9.409709275094255e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
350,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
351,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
352,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
354,0.11417322834645668,1.0,1.0,0.0004501234988616102,0.0010601705237515224,8.918157298037091e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
355,0.11417322834645668,1.0,1.0,0.0004642108214787395,0.0010894031668696711,9.33948756408609e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
356,0.11417322834645668,1.0,1.0,0.00046823577079791937,0.0010796589524969548,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
357,0.11417322834645668,1.0,1.0,0.0006547250892532512,0.0016233861144945188,0.00010041704674167749,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
358,0.11417322834645668,1.0,1.0,0.0004702482454575093,0.0010894031668696711,9.971482963159582e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
359,0.11417322834645668,1.0,1.0,0.00046219834681914955,0.0010523751522533494,0.00010463034940216744,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
361,0.11417322834645668,1.0,1.0,0.0004836647431881086,0.00110694275274056,0.0001074392178424941,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
362,0.11417322834645668,1.0,1.0,0.00045616092284037985,0.001038733252131547,0.00010322591518200413,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
363,0.11417322834645668,1.0,1.0,0.0004910438169399384,0.0011186358099878199,0.00011095030339290241,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
364,0.11417322834645668,1.0,1.0,0.0005125102133088973,0.0011654080389768575,0.00011656804027355569,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
366,0.11417322834645668,1.0,1.0,0.0004782981440958689,0.0008867235079171741,0.00018117201440106848,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
367,0.11417322834645668,1.0,1.0,0.000475614844549749,0.0010601705237515224,0.00011586582316347403,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
370,0.11417322834645668,1.0,1.0,0.020839845924940065,0.058751766138855056,0.0006453375241650463,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
371,0.11417322834645668,1.0,1.0,0.0007298574765446078,0.0018494518879415345,9.760817830135083e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
373,0.11417322834645668,1.0,1.0,0.00048031061875545883,0.0010796589524969548,0.00011375917183322905,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
374,0.11417322834645668,1.0,1.0,0.0004856772178476986,0.0011322777101096223,0.00010041704674167749,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
376,0.11417322834645668,1.0,1.0,0.0004595150472730297,0.0010523751522533494,0.00010182148096184082,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
377,0.11417322834645668,1.0,1.0,0.00045616092284037985,0.0010777101096224116,8.918157298037091e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
379,0.11417322834645668,1.0,1.0,0.0004695774205709793,0.001064068209500609,0.00010814143495257575,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
380,0.11417322834645668,1.0,1.0,0.0004467693744289603,0.0010367844092570037,9.409709275094255e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
381,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
382,0.11417322834645668,1.0,1.0,0.0004668941210248594,0.0010777101096224116,0.00010041704674167749,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
384,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
387,0.11417322834645668,1.0,1.0,0.0004601858721595597,0.0010757612667478683,9.409709275094255e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
391,0.11417322834645668,1.0,1.0,0.0004702482454575093,0.0010952496954933007,9.760817830135083e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
395,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
396,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
399,0.11417322834645668,1.0,1.0,0.0008103564629282043,0.002040438489646772,0.00011305695472314739,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
405,0.11417322834645668,1.0,1.0,0.0004266446278330612,0.0009939098660170522,8.847935587028926e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
406,0.11417322834645668,1.0,1.0,0.000432011226925301,0.001001705237515225,9.128822431061591e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
410,0.11417322834645668,1.0,1.0,0.00045414844818078993,0.001038733252131547,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
414,0.11417322834645668,1.0,1.0,0.0004843355680746386,0.0011225334957369062,0.00010252369807192247,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
415,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
427,0.11417322834645668,1.0,1.0,0.00048232309341504875,0.001138124238733252,9.479930986102421e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
428,0.11417322834645668,1.0,1.0,0.0004937271164860582,0.0011264311814859927,0.00011095030339290241,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
429,0.11417322834645668,1.0,1.0,0.0005312933101317365,0.0012219244823386112,0.00011586582316347403,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
431,0.11417322834645668,1.0,1.0,0.00047963979386892884,0.0011186358099878199,9.901261252151416e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
432,0.11417322834645668,1.0,1.0,0.0004702482454575093,0.0010504263093788061,0.00011375917183322905,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
434,0.11417322834645668,1.0,1.0,0.00047091907034403917,0.0010816077953714979,0.00010322591518200413,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
436,0.11417322834645668,1.0,1.0,0.000475614844549749,0.0011108404384896466,9.760817830135083e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
437,0.11417322834645668,1.0,1.0,0.000476956494322809,0.0010777101096224116,0.00011095030339290241,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
438,0.11417322834645668,1.0,1.0,0.00046152752193261967,0.0010601705237515224,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
439,0.11417322834645668,1.0,1.0,0.00047628566943627894,0.00110694275274056,9.971482963159582e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
440,0.11417322834645668,1.0,1.0,0.00046286917170567965,0.001073812423873325,9.760817830135083e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
441,0.11417322834645668,1.0,1.0,0.0004675649459113894,0.001066017052375152,0.0001053325665122491,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
442,0.11417322834645668,1.0,1.0,0.00045683174772690984,0.0010465286236297198,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
444,0.11417322834645668,1.0,1.0,0.0005011061902378879,0.001138124238733252,0.00011446138894331069,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
445,0.11417322834645668,1.0,1.0,0.00048634804273422854,0.001130328867235079,0.00010182148096184082,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
446,0.11417322834645668,1.0,1.0,0.0004689065956844493,0.0011186358099878199,8.77771387602076e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
448,0.11417322834645668,1.0,1.0,0.0005078144391031876,0.0011439707673568816,0.00011937690871388232,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
449,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
450,0.11417322834645668,1.0,1.0,0.000475614844549749,0.0011088915956151035,9.83103954114325e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
451,0.11417322834645668,1.0,1.0,0.00045750257261343983,0.0010484774665042629,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
458,0.11417322834645668,1.0,1.0,0.00046152752193261967,0.0011186358099878199,8.005275054930932e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
460,0.11417322834645668,1.0,1.0,0.00048031061875545883,0.0011283800243605357,9.620374408118755e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
461,0.11417322834645668,1.0,1.0,0.000476956494322809,0.0010913520097442142,0.00010603478362233078,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
463,0.11417322834645668,1.0,1.0,0.000498422890691768,0.0011127892813641899,0.00012078134293404566,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
464,0.11417322834645668,1.0,1.0,0.0004675649459113894,0.0010816077953714979,9.971482963159582e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
466,0.11417322834645668,1.0,1.0,0.00043469452647142083,0.0010133982947624848,8.988379009045257e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
471,0.11417322834645668,1.0,1.0,0.0003904200839604428,0.0008769792935444579,9.269265853077922e-05,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
472,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
477,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
479,0.11417322834645668,1.0,1.0,0.0004695774205709793,0.0010835566382460411,0.00010111926385175916,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
480,0.11417322834645668,1.0,1.0,0.0005031186648974778,0.0011342265529841657,0.000117972474493719,6,1.0,0.0,0.0,0.0,1.0,0,0,0,1
482,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
487,0.11417322834645668,0.0,0.0,0.0,0.0,0.0,6,0.0,1.0,1.0,1.0,0.0,0,0,0,1
